feature_id,feature_name,feature_description,product_id,meaningful_floor_events,deep_threshold_events
F00051,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-1410 SKU-0011,P0011,12830,51320
F00052,Advanced DNS Security,Advanced DNS Security capability delivered within PA-1410 SKU-0011,P0011,827855,3311423
F00053,App-ID,App-ID capability delivered within PA-1410 SKU-0011,P0011,1177510,4710040
F00054,Decryption,Decryption capability delivered within PA-1410 SKU-0011,P0011,180093,720375
F00055,IoT/OT Security,IoT/OT Security capability delivered within PA-1410 SKU-0011,P0011,7233,28935
F00056,Advanced DNS Security,Advanced DNS Security capability delivered within PA-3440 SKU-0012,P0012,7376,29504
F00057,Advanced WildFire,Advanced WildFire capability delivered within PA-3440 SKU-0012,P0012,29576,118305
F00058,Enterprise DLP,Enterprise DLP capability delivered within PA-3440 SKU-0012,P0012,18438,73754
F00059,App-ID,App-ID capability delivered within PA-3440 SKU-0012,P0012,526087,2104351
F00060,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-3440 SKU-0012,P0012,1220643,4882574
F00061,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-3440 SKU-0012,P0012,24353,97415
F00062,Advanced WildFire,Advanced WildFire capability delivered within CN-Series SKU-0013,P0013,15438,61752
F00063,GlobalProtect,GlobalProtect capability delivered within CN-Series SKU-0013,P0013,552789,2211156
F00064,Advanced DNS Security,Advanced DNS Security capability delivered within CN-Series SKU-0013,P0013,182564,730259
F00065,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0014,P0014,6454,25819
F00066,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within CN-Series SKU-0014,P0014,655970,2623880
F00067,IoT/OT Security,IoT/OT Security capability delivered within CN-Series SKU-0014,P0014,15264,61059
F00068,Decryption,Decryption capability delivered within CN-Series SKU-0014,P0014,6712,26849
F00069,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-3410 SKU-0015,P0015,196330,785321
F00070,Advanced WildFire,Advanced WildFire capability delivered within PA-3410 SKU-0015,P0015,11816,47266
F00071,Advanced DNS Security,Advanced DNS Security capability delivered within PA-3410 SKU-0015,P0015,18978,75912
F00072,IoT/OT Security,IoT/OT Security capability delivered within PA-3410 SKU-0015,P0015,4387,17548
F00073,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-3410 SKU-0015,P0015,570531,2282125
F00074,App-ID,App-ID capability delivered within PA-3410 SKU-0015,P0015,471944,1887777
F00075,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within CN-Series SKU-0016,P0016,22726,90904
F00076,Advanced WildFire,Advanced WildFire capability delivered within CN-Series SKU-0016,P0016,380957,1523829
F00077,GlobalProtect,GlobalProtect capability delivered within CN-Series SKU-0016,P0016,116694,466776
F00078,IoT/OT Security,IoT/OT Security capability delivered within CN-Series SKU-0016,P0016,8633,34534
F00079,App-ID,App-ID capability delivered within CN-Series SKU-0016,P0016,13471,53884
F00080,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0016,P0016,865851,3463406
F00081,App-ID,App-ID capability delivered within PA-460 SKU-0017,P0017,1368624,5474497
F00082,Advanced DNS Security,Advanced DNS Security capability delivered within PA-460 SKU-0017,P0017,22385,89541
F00083,Advanced WildFire,Advanced WildFire capability delivered within PA-460 SKU-0017,P0017,10215,40863
F00084,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-460 SKU-0017,P0017,15442,61768
F00085,Decryption,Decryption capability delivered within PA-460 SKU-0017,P0017,190124,760499
F00086,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-460 SKU-0017,P0017,21855,87420
F00087,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0018,P0018,8679,34718
F00088,SaaS Security,SaaS Security capability delivered within Prisma Access Mobile Users SKU-0018,P0018,6469,25876
F00089,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Mobile Users SKU-0018,P0018,14812,59248
F00090,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Mobile Users SKU-0018,P0018,20232,80928
F00091,Decryption,Decryption capability delivered within Prisma Access Mobile Users SKU-0018,P0018,836223,3344895
F00092,SD-WAN,SD-WAN capability delivered within Prisma Access Mobile Users SKU-0018,P0018,827083,3308334
F00093,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Cloud NGFW for Azure SKU-0019,P0019,6636,26544
F00094,Decryption,Decryption capability delivered within Cloud NGFW for Azure SKU-0019,P0019,7186,28744
F00095,Advanced WildFire,Advanced WildFire capability delivered within Cloud NGFW for Azure SKU-0019,P0019,1010092,4040368
F00096,IoT/OT Security,IoT/OT Security capability delivered within VM-100 SKU-0020,P0020,292327,1169310
F00097,Decryption,Decryption capability delivered within VM-100 SKU-0020,P0020,16431,65725
F00098,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-100 SKU-0020,P0020,33012,132050
F00099,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-500 SKU-0021,P0021,18932,75728
F00100,GlobalProtect,GlobalProtect capability delivered within VM-500 SKU-0021,P0021,3952,15810
F00101,Decryption,Decryption capability delivered within VM-500 SKU-0021,P0021,5886,23545
F00102,App-ID,App-ID capability delivered within VM-500 SKU-0021,P0021,243796,975185
F00103,Advanced WildFire,Advanced WildFire capability delivered within VM-300 SKU-0022,P0022,7227,28911
F00104,Advanced DNS Security,Advanced DNS Security capability delivered within VM-300 SKU-0022,P0022,19519,78078
F00105,Decryption,Decryption capability delivered within VM-300 SKU-0022,P0022,21249,84996
F00106,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-300 SKU-0022,P0022,616085,2464342
F00107,App-ID,App-ID capability delivered within PA-3410 SKU-0023,P0023,167610,670440
F00108,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-3410 SKU-0023,P0023,14128,56512
F00109,Decryption,Decryption capability delivered within PA-3410 SKU-0023,P0023,3848,15392
F00110,GlobalProtect,GlobalProtect capability delivered within PA-7500 SKU-0024,P0024,1150566,4602264
F00111,Advanced WildFire,Advanced WildFire capability delivered within PA-7500 SKU-0024,P0024,22029,88118
F00112,Decryption,Decryption capability delivered within PA-7500 SKU-0024,P0024,236140,944560
F00113,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Mobile Users SKU-0025,P0025,12610,50442
F00114,GlobalProtect,GlobalProtect capability delivered within Prisma Access Mobile Users SKU-0025,P0025,706171,2824686
F00115,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Mobile Users SKU-0025,P0025,10007,40030
F00116,SaaS Security,SaaS Security capability delivered within Prisma Access Mobile Users SKU-0025,P0025,10814,43259
F00117,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Mobile Users SKU-0025,P0025,35589,142357
F00118,GlobalProtect,GlobalProtect capability delivered within PA-410 SKU-0026,P0026,1154100,4616402
F00119,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-410 SKU-0026,P0026,38114,152458
F00120,Advanced DNS Security,Advanced DNS Security capability delivered within PA-410 SKU-0026,P0026,325365,1301463
F00121,Decryption,Decryption capability delivered within PA-410 SKU-0026,P0026,458639,1834556
F00122,App-ID,App-ID capability delivered within PA-410 SKU-0026,P0026,5986,23945
F00123,Advanced WildFire,Advanced WildFire capability delivered within PA-410 SKU-0026,P0026,8754,35016
F00124,Advanced DNS Security,Advanced DNS Security capability delivered within VM-100 SKU-0027,P0027,15137,60550
F00125,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-100 SKU-0027,P0027,27205,108823
F00126,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-100 SKU-0027,P0027,19111,76445
F00127,Advanced WildFire,Advanced WildFire capability delivered within VM-100 SKU-0027,P0027,351543,1406173
F00128,Enterprise DLP,Enterprise DLP capability delivered within VM-100 SKU-0027,P0027,21822,87291
F00129,IoT/OT Security,IoT/OT Security capability delivered within VM-100 SKU-0027,P0027,650377,2601511
F00130,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Mobile Users SKU-0028,P0028,16494,65979
F00131,SaaS Security,SaaS Security capability delivered within Prisma Access Mobile Users SKU-0028,P0028,1120409,4481636
F00132,SD-WAN,SD-WAN capability delivered within Prisma Access Mobile Users SKU-0028,P0028,484861,1939444
F00133,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0028,P0028,10724,42896
F00134,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Mobile Users SKU-0028,P0028,17109,68438
F00135,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0029,P0029,214360,857442
F00136,Decryption,Decryption capability delivered within Prisma Access Mobile Users SKU-0029,P0029,916938,3667752
F00137,SaaS Security,SaaS Security capability delivered within Prisma Access Mobile Users SKU-0029,P0029,34691,138764
F00138,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Mobile Users SKU-0029,P0029,12751,51007
F00139,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Browser SKU-0030,P0030,32867,131470
F00140,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Browser SKU-0030,P0030,13591,54364
F00141,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Browser SKU-0030,P0030,16268,65075
F00142,Decryption,Decryption capability delivered within CN-Series SKU-0031,P0031,255393,1021572
F00143,App-ID,App-ID capability delivered within CN-Series SKU-0031,P0031,410752,1643011
F00144,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0031,P0031,19553,78215
F00145,GlobalProtect,GlobalProtect capability delivered within CN-Series SKU-0031,P0031,36357,145428
F00146,Advanced WildFire,Advanced WildFire capability delivered within VM-700 SKU-0032,P0032,10733,42932
F00147,Decryption,Decryption capability delivered within VM-700 SKU-0032,P0032,155571,622284
F00148,App-ID,App-ID capability delivered within VM-700 SKU-0032,P0032,215607,862431
F00149,GlobalProtect,GlobalProtect capability delivered within VM-700 SKU-0032,P0032,12338,49352
F00150,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-500 SKU-0033,P0033,7446,29786
F00151,GlobalProtect,GlobalProtect capability delivered within VM-500 SKU-0033,P0033,4185,16740
F00152,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-500 SKU-0033,P0033,119187,476748
F00153,App-ID,App-ID capability delivered within VM-500 SKU-0033,P0033,686936,2747745
F00154,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Mobile Users SKU-0034,P0034,501039,2004157
F00155,Decryption,Decryption capability delivered within Prisma Access Mobile Users SKU-0034,P0034,5392,21571
F00156,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0034,P0034,8169,32677
F00157,AI Access Security,AI Access Security capability delivered within Prisma Access Mobile Users SKU-0034,P0034,413906,1655624
F00158,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-700 SKU-0035,P0035,177556,710225
F00159,Decryption,Decryption capability delivered within VM-700 SKU-0035,P0035,5331,21326
F00160,Advanced DNS Security,Advanced DNS Security capability delivered within VM-700 SKU-0035,P0035,529885,2119540
F00161,Advanced WildFire,Advanced WildFire capability delivered within PA-410 SKU-0036,P0036,405856,1623427
F00162,Decryption,Decryption capability delivered within PA-410 SKU-0036,P0036,263780,1055123
F00163,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-410 SKU-0036,P0036,13459,53838
F00164,Advanced DNS Security,Advanced DNS Security capability delivered within PA-410 SKU-0036,P0036,19247,76988
F00165,App-ID,App-ID capability delivered within PA-410 SKU-0036,P0036,5875,23500
F00166,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-410 SKU-0036,P0036,7136,28547
F00167,Advanced DNS Security,Advanced DNS Security capability delivered within VM-700 SKU-0037,P0037,4833,19332
F00168,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-700 SKU-0037,P0037,26534,106138
F00169,Advanced WildFire,Advanced WildFire capability delivered within VM-700 SKU-0037,P0037,388058,1552232
F00170,GlobalProtect,GlobalProtect capability delivered within VM-700 SKU-0037,P0037,9987,39951
F00171,IoT/OT Security,IoT/OT Security capability delivered within PA-3410 SKU-0038,P0038,367594,1470376
F00172,Decryption,Decryption capability delivered within PA-3410 SKU-0038,P0038,872872,3491488
F00173,App-ID,App-ID capability delivered within PA-3410 SKU-0038,P0038,200794,803177
F00174,Advanced WildFire,Advanced WildFire capability delivered within PA-3410 SKU-0038,P0038,15156,60624
F00175,Enterprise DLP,Enterprise DLP capability delivered within PA-3410 SKU-0038,P0038,26093,104373
F00176,Advanced DNS Security,Advanced DNS Security capability delivered within PA-3410 SKU-0038,P0038,10595,42380
F00177,IoT/OT Security,IoT/OT Security capability delivered within VM-100 SKU-0039,P0039,656234,2624938
F00178,Advanced DNS Security,Advanced DNS Security capability delivered within VM-100 SKU-0039,P0039,28617,114471
F00179,Decryption,Decryption capability delivered within VM-100 SKU-0039,P0039,30371,121486
F00180,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within CN-Series SKU-0040,P0040,4513,18053
F00181,Decryption,Decryption capability delivered within CN-Series SKU-0040,P0040,19256,77024
F00182,Advanced WildFire,Advanced WildFire capability delivered within CN-Series SKU-0040,P0040,16250,65000
F00183,Advanced DNS Security,Advanced DNS Security capability delivered within CN-Series SKU-0040,P0040,142456,569827
F00184,App-ID,App-ID capability delivered within CN-Series SKU-0040,P0040,1396384,5585536
F00185,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0040,P0040,382832,1531330
F00186,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-300 SKU-0041,P0041,562890,2251562
F00187,App-ID,App-ID capability delivered within VM-300 SKU-0041,P0041,7544,30178
F00188,IoT/OT Security,IoT/OT Security capability delivered within VM-300 SKU-0041,P0041,14423,57694
F00189,Advanced DNS Security,Advanced DNS Security capability delivered within VM-300 SKU-0041,P0041,336272,1345091
F00190,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-300 SKU-0041,P0041,221598,886392
F00191,Decryption,Decryption capability delivered within VM-300 SKU-0041,P0041,17638,70552
F00192,Advanced URL Filtering,Advanced URL Filtering capability delivered within Cloud NGFW for Azure SKU-0042,P0042,404605,1618423
F00193,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Cloud NGFW for Azure SKU-0042,P0042,4833,19335
F00194,Advanced DNS Security,Advanced DNS Security capability delivered within Cloud NGFW for Azure SKU-0042,P0042,29527,118110
F00195,Enterprise DLP,Enterprise DLP capability delivered within Cloud NGFW for Azure SKU-0042,P0042,38752,155009
F00196,IoT/OT Security,IoT/OT Security capability delivered within PA-460 SKU-0043,P0043,15985,63943
F00197,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-460 SKU-0043,P0043,9381,37525
F00198,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-460 SKU-0043,P0043,8097,32388
F00199,IoT/OT Security,IoT/OT Security capability delivered within VM-100 SKU-0044,P0044,320523,1282092
F00200,Enterprise DLP,Enterprise DLP capability delivered within VM-100 SKU-0044,P0044,11970,47883
F00201,App-ID,App-ID capability delivered within VM-100 SKU-0044,P0044,41811,167246
F00202,Advanced DNS Security,Advanced DNS Security capability delivered within CN-Series SKU-0045,P0045,427813,1711253
F00203,Enterprise DLP,Enterprise DLP capability delivered within CN-Series SKU-0045,P0045,4617,18469
F00204,Decryption,Decryption capability delivered within CN-Series SKU-0045,P0045,301197,1204788
F00205,App-ID,App-ID capability delivered within PA-5445 SKU-0046,P0046,14841,59367
F00206,Decryption,Decryption capability delivered within PA-5445 SKU-0046,P0046,157357,629428
F00207,GlobalProtect,GlobalProtect capability delivered within PA-5445 SKU-0046,P0046,204235,816942
F00208,Advanced DNS Security,Advanced DNS Security capability delivered within PA-5445 SKU-0046,P0046,19531,78126
F00209,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-5445 SKU-0046,P0046,711358,2845433
F00210,App-ID,App-ID capability delivered within Cloud NGFW for Azure SKU-0047,P0047,589552,2358208
F00211,Advanced URL Filtering,Advanced URL Filtering capability delivered within Cloud NGFW for Azure SKU-0047,P0047,6029,24116
F00212,Decryption,Decryption capability delivered within Cloud NGFW for Azure SKU-0047,P0047,18864,75459
F00213,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Cloud NGFW for Azure SKU-0047,P0047,11951,47805
F00214,Advanced WildFire,Advanced WildFire capability delivered within Cloud NGFW for Azure SKU-0047,P0047,14656,58625
F00215,Enterprise DLP,Enterprise DLP capability delivered within Cloud NGFW for Azure SKU-0047,P0047,9766,39066
F00216,Decryption,Decryption capability delivered within PA-1410 SKU-0048,P0048,13549,54198
F00217,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-1410 SKU-0048,P0048,3879,15516
F00218,App-ID,App-ID capability delivered within PA-1410 SKU-0048,P0048,16750,67002
F00219,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-1410 SKU-0048,P0048,103395,413583
F00220,Advanced WildFire,Advanced WildFire capability delivered within PA-1410 SKU-0048,P0048,34680,138723
F00221,IoT/OT Security,IoT/OT Security capability delivered within PA-1410 SKU-0048,P0048,554777,2219108
F00222,App-ID,App-ID capability delivered within VM-300 SKU-0049,P0049,15491,61966
F00223,Advanced URL Filtering,Advanced URL Filtering capability delivered within VM-300 SKU-0049,P0049,18794,75178
F00224,Decryption,Decryption capability delivered within VM-300 SKU-0049,P0049,125778,503114
F00225,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-300 SKU-0049,P0049,23299,93196
F00226,Advanced DNS Security,Advanced DNS Security capability delivered within VM-300 SKU-0049,P0049,443401,1773604
F00227,Advanced DNS Security,Advanced DNS Security capability delivered within VM-100 SKU-0050,P0050,5587,22351
F00228,Advanced WildFire,Advanced WildFire capability delivered within VM-100 SKU-0050,P0050,201924,807699
F00229,Decryption,Decryption capability delivered within VM-100 SKU-0050,P0050,712134,2848539
F00230,App-ID,App-ID capability delivered within VM-100 SKU-0050,P0050,486177,1944709
F00231,GlobalProtect,GlobalProtect capability delivered within VM-100 SKU-0050,P0050,8523,34093
F00232,IoT/OT Security,IoT/OT Security capability delivered within VM-100 SKU-0050,P0050,932923,3731692
F00233,Advanced WildFire,Advanced WildFire capability delivered within VM-500 SKU-0051,P0051,38023,152092
F00234,IoT/OT Security,IoT/OT Security capability delivered within VM-500 SKU-0051,P0051,441375,1765502
F00235,Advanced DNS Security,Advanced DNS Security capability delivered within VM-500 SKU-0051,P0051,759085,3036340
F00236,App-ID,App-ID capability delivered within VM-500 SKU-0051,P0051,104270,417083
F00237,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-500 SKU-0051,P0051,3804,15218
F00238,Decryption,Decryption capability delivered within Prisma Access Browser SKU-0052,P0052,476869,1907477
F00239,App-ID,App-ID capability delivered within Prisma Access Browser SKU-0052,P0052,269128,1076513
F00240,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Browser SKU-0052,P0052,7491,29964
F00241,Decryption,Decryption capability delivered within Prisma Access Remote Networks SKU-0053,P0053,340930,1363720
F00242,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Remote Networks SKU-0053,P0053,16107,64428
F00243,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Remote Networks SKU-0053,P0053,17101,68405
F00244,Decryption,Decryption capability delivered within PA-440 SKU-0054,P0054,266240,1064961
F00245,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-440 SKU-0054,P0054,6546,26187
F00246,Advanced DNS Security,Advanced DNS Security capability delivered within PA-440 SKU-0054,P0054,5226,20905
F00247,Advanced DNS Security,Advanced DNS Security capability delivered within PA-440 SKU-0055,P0055,15768,63072
F00248,Enterprise DLP,Enterprise DLP capability delivered within PA-440 SKU-0055,P0055,3658,14632
F00249,Advanced WildFire,Advanced WildFire capability delivered within PA-440 SKU-0055,P0055,1365201,5460804
F00250,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-440 SKU-0055,P0055,9520,38080
F00251,App-ID,App-ID capability delivered within PA-440 SKU-0055,P0055,211824,847296
F00252,Decryption,Decryption capability delivered within PA-440 SKU-0055,P0055,25116,100467
F00253,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Mobile Users SKU-0056,P0056,10115,40461
F00254,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0056,P0056,7859,31438
F00255,SD-WAN,SD-WAN capability delivered within Prisma Access Mobile Users SKU-0056,P0056,13152,52608
F00256,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Mobile Users SKU-0056,P0056,106575,426300
F00257,GlobalProtect,GlobalProtect capability delivered within Prisma Access Mobile Users SKU-0056,P0056,24281,97125
F00258,SaaS Security,SaaS Security capability delivered within Prisma Access Mobile Users SKU-0057,P0057,1219707,4878828
F00259,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Mobile Users SKU-0057,P0057,13381,53525
F00260,App-ID,App-ID capability delivered within Prisma Access Mobile Users SKU-0057,P0057,8193,32775
F00261,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Remote Networks SKU-0058,P0058,17491,69967
F00262,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Remote Networks SKU-0058,P0058,9001,36005
F00263,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Remote Networks SKU-0058,P0058,12644,50577
F00264,SaaS Security,SaaS Security capability delivered within Prisma Access Remote Networks SKU-0058,P0058,139298,557192
F00265,IoT/OT Security,IoT/OT Security capability delivered within VM-500 SKU-0059,P0059,812676,3250705
F00266,Decryption,Decryption capability delivered within VM-500 SKU-0059,P0059,9510,38042
F00267,App-ID,App-ID capability delivered within VM-500 SKU-0059,P0059,111552,446208
F00268,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within VM-500 SKU-0059,P0059,181914,727656
F00269,Advanced WildFire,Advanced WildFire capability delivered within VM-500 SKU-0059,P0059,1309539,5238159
F00270,GlobalProtect,GlobalProtect capability delivered within VM-500 SKU-0059,P0059,8933,35732
F00271,Advanced WildFire,Advanced WildFire capability delivered within PA-1410 SKU-0060,P0060,553087,2212348
F00272,IoT/OT Security,IoT/OT Security capability delivered within PA-1410 SKU-0060,P0060,16779,67118
F00273,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-1410 SKU-0060,P0060,8370,33480
F00274,App-ID,App-ID capability delivered within PA-1410 SKU-0060,P0060,178674,714696
F00275,Advanced DNS Security,Advanced DNS Security capability delivered within PA-1410 SKU-0060,P0060,7717,30868
F00276,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Remote Networks SKU-0061,P0061,16530,66123
