feature_id,meaningful_floor_events,deep_threshold_events
F00126,19111,76445
F00127,351543,1406173
F00128,21822,87291
F00129,650377,2601511
F00130,16494,65979
F00131,1120409,4481636
F00132,484861,1939444
F00133,10724,42896
F00134,17109,68438
F00135,214360,857442
F00136,916938,3667752
F00137,34691,138764
F00138,12751,51007
F00139,32867,131470
F00140,13591,54364
F00141,16268,65075
F00142,255393,1021572
F00143,410752,1643011
F00144,19553,78215
F00145,36357,145428
F00146,10733,42932
F00147,155571,622284
F00148,215607,862431
F00149,12338,49352
F00150,7446,29786
F00151,4185,16740
F00152,119187,476748
F00153,686936,2747745
F00154,501039,2004157
F00155,5392,21571
F00156,8169,32677
F00157,413906,1655624
F00158,177556,710225
F00159,5331,21326
F00160,529885,2119540
F00161,405856,1623427
F00162,263780,1055123
F00163,13459,53838
F00164,19247,76988
F00165,5875,23500
F00166,7136,28547
F00167,4833,19332
F00168,26534,106138
F00169,388058,1552232
F00170,9987,39951
F00171,367594,1470376
F00172,872872,3491488
F00173,200794,803177
F00174,15156,60624
F00175,26093,104373
F00176,10595,42380
F00177,656234,2624938
F00178,28617,114471
F00179,30371,121486
F00180,4513,18053
F00181,19256,77024
F00182,16250,65000
F00183,142456,569827
F00184,1396384,5585536
F00185,382832,1531330
F00186,562890,2251562
F00187,7544,30178
F00188,14423,57694
F00189,336272,1345091
F00190,221598,886392
F00191,17638,70552
F00192,404605,1618423
F00193,4833,19335
F00194,29527,118110
F00195,38752,155009
F00196,15985,63943
F00197,9381,37525
F00198,8097,32388
F00199,320523,1282092
F00200,11970,47883
F00201,41811,167246
F00202,427813,1711253
F00203,4617,18469
F00204,301197,1204788
F00205,14841,59367
F00206,157357,629428
F00207,204235,816942
F00208,19531,78126
F00209,711358,2845433
F00210,589552,2358208
F00211,6029,24116
F00212,18864,75459
F00213,11951,47805
F00214,14656,58625
F00215,9766,39066
F00216,13549,54198
F00217,3879,15516
F00218,16750,67002
F00219,103395,413583
F00220,34680,138723
F00221,554777,2219108
F00222,15491,61966
F00223,18794,75178
F00224,125778,503114
F00225,23299,93196
F00226,443401,1773604
F00227,5587,22351
F00228,201924,807699
F00229,712134,2848539
F00230,486177,1944709
F00231,8523,34093
F00232,932923,3731692
F00233,38023,152092
F00234,441375,1765502
F00235,759085,3036340
F00236,104270,417083
F00237,3804,15218
F00238,476869,1907477
F00239,269128,1076513
F00240,7491,29964
F00241,340930,1363720
F00242,16107,64428
F00243,17101,68405
F00244,266240,1064961
F00245,6546,26187
F00246,5226,20905
F00247,15768,63072
F00248,3658,14632
F00249,1365201,5460804
F00250,9520,38080
F00251,211824,847296
F00252,25116,100467
F00253,10115,40461
F00254,7859,31438
F00255,13152,52608
F00256,106575,426300
F00257,24281,97125
F00258,1219707,4878828
F00259,13381,53525
F00260,8193,32775
F00261,17491,69967
F00262,9001,36005
F00263,12644,50577
F00264,139298,557192
F00265,812676,3250705
F00266,9510,38042
F00267,111552,446208
F00268,181914,727656
F00269,1309539,5238159
F00270,8933,35732
F00271,553087,2212348
F00272,16779,67118
F00273,8370,33480
F00274,178674,714696
F00275,7717,30868
F00276,16530,66123
F00277,501691,2006764
F00278,123329,493317
F00279,30140,120561
F00280,30541,122165
F00281,21352,85408
F00282,665419,2661679
F00283,1208897,4835588
F00284,21841,87366
F00285,23261,93047
F00286,145791,583166
F00287,16714,66856
F00288,751256,3005027
F00289,6551,26207
F00290,304793,1219174
F00291,819875,3279500
F00292,143096,572385
F00293,10338,41353
F00294,123802,495210
F00295,4261,17045
F00296,271304,1085216
F00297,360902,1443608
F00298,22280,89123
F00299,9566,38264
F00300,187284,749136
F00301,464941,1859767
F00302,15413,61655
F00303,14735,58940
F00304,1166144,4664578
F00305,17232,68929
F00306,608289,2433156
F00307,5712,22851
F00308,5743,22974
F00309,8392,33568
F00310,10771,43087
F00311,13368,53474
F00312,13117,52471
F00313,443576,1774306
F00314,21967,87868
F00315,464080,1856322
F00316,14961,59844
F00317,256603,1026415
F00318,1158136,4632545
F00319,214990,859963
F00320,17389,69558
F00321,17397,69591
F00322,986375,3945500
F00323,113085,452341
F00324,159475,637901
F00325,8460,33843
F00326,27572,110288
F00327,10704,42818
F00328,586589,2346356
F00329,146573,586292
F00330,13437,53748
F00331,195418,781675
F00332,7827,31309
F00333,594034,2376136
F00334,15045,60180
F00335,650122,2600489
F00336,12643,50572
F00337,39171,156684
F00338,7318,29272
F00339,302950,1211802
F00340,15245,60980
F00341,10861,43444
F00342,1373884,5495539
F00343,119425,477703
F00344,8646,34586
F00345,470402,1881609
F00346,1178251,4713005
F00347,261653,1046615
F00348,27990,111961
F00349,620898,2483592
F00350,7984,31937
F00351,18054,72216
F00352,387251,1549007
F00353,1199426,4797707
F00354,14984,59937
F00355,21721,86884
F00356,721971,2887886
F00357,14744,58977
F00358,701003,2804012
F00359,13532,54129
F00360,12155,48622
F00361,10499,41996
F00362,6607,26429
F00363,365033,1460132
F00364,198188,792752
F00365,26926,107704
F00366,6569,26276
F00367,11898,47592
F00368,178262,713048
F00369,22700,90800
F00370,1317566,5270264
F00371,832090,3328360
F00372,114011,456044
F00373,4569,18278
F00374,179371,717484
F00375,35753,143013
F00376,20537,82150
F00377,222517,890068
F00378,21115,84463
F00379,183918,735672
F00380,161861,647447
F00381,5508,22034
F00382,16907,67628
F00383,41713,166853
F00384,211365,845463
F00385,20184,80736
F00386,510749,2042996
F00387,18540,74160
F00388,21451,85804
F00389,22590,90360
F00390,6546,26184
F00391,151744,606978
F00392,637079,2548319
F00393,13206,52826
F00394,6745,26980
F00395,19507,78029
F00396,26940,107762
F00397,18909,75636
F00398,38908,155635
F00399,194056,776224
F00400,738454,2953818
F00401,23441,93765
F00402,10863,43453
F00403,703078,2812315
F00404,302599,1210397
F00405,13913,55653
F00406,22888,91552
F00407,554175,2216701
F00408,32912,131648
F00409,19106,76427
F00410,25289,101158
F00411,11578,46315
F00412,312429,1249719
F00413,31243,124973
F00414,12100,48401
F00415,872324,3489298
F00416,5944,23776
F00417,35701,142805
F00418,612115,2448460
F00419,626116,2504465
F00420,10358,41434
F00421,9124,36497
F00422,11456,45825
F00423,32570,130280
F00424,26521,106084
F00425,429343,1717372
F00426,278905,1115622
F00427,4739,18958
F00428,12060,48240
F00429,177165,708660
F00430,11821,47285
F00431,4821,19284
F00432,12452,49810
F00433,19764,79056
F00434,5854,23418
F00435,574784,2299138
F00436,11753,47012
F00437,257446,1029785
F00438,164736,658947
F00439,25043,100174
F00440,538161,2152644
F00441,550567,2202268
F00442,1161807,4647228
F00443,33462,133848
F00444,423114,1692458
F00445,25121,100485
F00446,28193,112775
F00447,327174,1308696
F00448,1177114,4708458
F00449,385995,1543982
F00450,5371,21485
F00451,9755,39021
F00452,268050,1072201
F00453,13405,53623
F00454,23587,94350
F00455,8631,34526
F00456,6010,24040
F00457,284438,1137755
F00458,616304,2465216
F00459,171290,685160
F00460,8531,34124
F00461,463704,1854818
F00462,973286,3893144
F00463,10027,40108
F00464,19617,78468
F00465,229712,918849
F00466,17341,69367
F00467,7547,30190
F00468,7197,28788
F00469,733488,2933952
F00470,11333,45332
F00471,21422,85688
F00472,209932,839729
F00473,526021,2104084
F00474,15332,61329
F00475,614920,2459683
F00476,1273378,5093514
F00477,170268,681072
F00478,8382,33528
F00479,9578,38315
F00480,6136,24546
F00481,214481,857925
F00482,223516,894067
F00483,786433,3145734
F00484,432941,1731766
F00485,201818,807273
F00486,1387210,5548841
F00487,11630,46520
F00488,483808,1935233
F00489,7601,30405
F00490,22856,91425
F00491,15153,60613
F00492,24224,96896
F00493,11198,44792
F00494,17290,69160
F00495,7520,30081
F00496,459508,1838032
F00497,22066,88264
F00498,631567,2526270
F00499,17647,70591
F00500,31032,124129
F00501,4693,18772
F00502,16454,65818
F00503,14771,59084
F00504,312401,1249604
F00505,18973,75892
F00506,12602,50408
F00507,152476,609906
F00508,650762,2603049
F00509,1211622,4846488
F00510,254117,1016469
F00511,24567,98268
F00512,22811,91244
F00513,9623,38494
F00514,10265,41060
F00515,33053,132213
F00516,776596,3106384
F00517,35616,142466
F00518,24690,98760
F00519,122970,491880
F00520,24587,98348
F00521,607090,2428362
F00522,286171,1144685
F00523,8571,34284
F00524,1202742,4810968
F00525,7290,29163
F00526,450732,1802931
F00527,9199,36797
F00528,18587,74351
F00529,506945,2027783
F00530,12471,49886
F00531,6634,26536
F00532,12890,51563
F00533,700852,2803411
F00534,13601,54407
F00535,981149,3924597
F00536,9369,37479
F00537,177980,711923
F00538,829910,3319643
F00539,6496,25986
F00540,15535,62141
F00541,245045,980181
F00542,970538,3882152
F00543,130740,522961
F00544,23936,95745
F00545,24822,99289
F00546,282825,1131300
F00547,15047,60188
F00548,526632,2106529
F00549,1066613,4266452
F00550,7788,31153
F00551,325052,1300211
F00552,7503,30012
F00553,901850,3607403
F00554,32377,129508
F00555,6844,27376
F00556,9958,39832
F00557,6427,25708
F00558,520163,2080653
F00559,746245,2984982
F00560,26767,107070
F00561,3831,15324
F00562,355216,1420864
F00563,16385,65540
F00564,14004,56017
F00565,7569,30277
F00566,769595,3078380
F00567,9007,36028
F00568,586695,2346780
F00569,18257,73030
F00570,23177,92710
F00571,102681,410725
F00572,9166,36664
F00573,11694,46776
F00574,690261,2761044
F00575,190442,761770
F00576,39865,159462
F00577,7295,29180
F00578,17482,69931
F00579,32899,131596
F00580,30456,121826
F00581,7933,31732
F00582,5436,21744
F00583,7153,28613
F00584,298156,1192625
F00585,8937,35748
F00586,331045,1324180
F00587,511059,2044237
F00588,8664,34656
F00589,39565,158261
F00590,18782,75128
F00591,127565,510260
F00592,236942,947770
F00593,8392,33568
F00594,732925,2931701
F00595,305593,1222375
F00596,16527,66108
F00597,6574,26298
F00598,178280,713123
F00599,29949,119796
F00600,10863,43452
F00601,441894,1767579
F00602,958138,3832554
F00603,8489,33956
F00604,327923,1311692
F00605,151400,605601
F00606,254047,1016191
F00607,732599,2930399
F00608,5738,22953
F00609,184163,736654
F00610,15529,62116
F00611,11983,47932
F00612,27760,111040
F00613,8174,32697
F00614,8144,32576
F00615,202162,808648
F00616,16599,66398
F00617,884032,3536131
F00618,278075,1112302
F00619,27484,109939
F00620,10898,43593
F00621,17523,70095
F00622,12624,50499
F00623,292152,1168608
F00624,399646,1598586
F00625,13361,53445
F00626,6070,24281
F00627,9972,39891
F00628,27548,110192
F00629,10684,42739
F00630,223136,892546
F00631,8903,35612
F00632,25480,101922
F00633,12399,49598
F00634,738023,2952093
F00635,272577,1090308
F00636,6028,24113
F00637,6213,24853
F00638,378686,1514744
F00639,11318,45274
F00640,10362,41449
F00641,24779,99119
F00642,141190,564761
F00643,31566,126266
F00644,10857,43428
F00645,299563,1198253
F00646,6922,27688
F00647,770414,3081657
F00648,122505,490022
F00649,3941,15765
F00650,9172,36691
F00651,12349,49396
F00652,10078,40314
F00653,30375,121503
F00654,23295,93180
F00655,636322,2545290
F00656,471401,1885604
F00657,6083,24333
F00658,183087,732348
F00659,14593,58374
F00660,949985,3799941
F00661,18286,73146
F00662,18435,73742
F00663,7526,30105
F00664,19254,77016
F00665,24514,98057
F00666,265105,1060423
F00667,24854,99416
F00668,186793,747172
F00669,289729,1158916
F00670,8184,32736
F00671,18199,72797
F00672,402844,1611379
F00673,537254,2149018
F00674,875683,3502732
F00675,7496,29984
F00676,3849,15396
F00677,32584,130336
F00678,13958,55832
F00679,16279,65117
F00680,6556,26224
F00681,15295,61181
F00682,20340,81360
F00683,8377,33509
F00684,18015,72062
F00685,5947,23788
F00686,1240002,4960010
F00687,25011,100047
F00688,220138,880552
F00689,400484,1601939
F00690,105074,420296
F00691,10203,40813
F00692,10785,43143
F00693,30733,122932
F00694,507252,2029010
F00695,10588,42353
F00696,32911,131644
F00697,15610,62440
F00698,9489,37956
F00699,645268,2581073
F00700,215792,863171
F00701,40666,162666
F00702,20040,80163
F00703,5673,22694
F00704,41528,166115
F00705,15696,62784
F00706,162393,649574
F00707,16887,67548
F00708,350887,1403550
F00709,12853,51412
F00710,173265,693061
F00711,9262,37048
F00712,5283,21134
F00713,16333,65334
F00714,15080,60323
F00715,5391,21566
F00716,168148,672593
F00717,28816,115265
F00718,15927,63708
F00719,15257,61028
F00720,13868,55473
F00721,10809,43239
F00722,145282,581131
F00723,31007,124030
F00724,24330,97323
F00725,310554,1242218
F00726,16528,66112
F00727,262511,1050047
F00728,190644,762576
F00729,23969,95877
F00730,568330,2273320
F00731,9683,38734
F00732,947522,3790090
F00733,7027,28109
F00734,5384,21539
F00735,18225,72903
F00736,651231,2604924
F00737,273191,1092764
F00738,5319,21276
F00739,24501,98005
F00740,38123,152495
F00741,16144,64576
F00742,801967,3207871
F00743,12810,51242
F00744,30919,123679
F00745,23961,95844
F00746,1164368,4657474
F00747,13189,52756
F00748,840836,3363347
F00749,30063,120252
F00750,103190,412761
F00751,13900,55600
F00752,536675,2146701
F00753,5474,21897
F00754,36876,147505
F00755,324966,1299864
F00756,16763,67055
F00757,1176452,4705809
F00758,15134,60536
F00759,24117,96468
F00760,7164,28656
F00761,15871,63485
F00762,10384,41539
F00763,302998,1211993
F00764,158907,635628
F00765,505238,2020955
F00766,26373,105492
F00767,610367,2441470
F00768,728292,2913168
F00769,13666,54667
F00770,17841,71366
F00771,21872,87490
F00772,266737,1066948
F00773,147672,590690
F00774,5860,23442
F00775,5868,23472
F00776,9539,38159
F00777,4884,19537
F00778,12159,48637
F00779,11153,44615
F00780,28869,115476
F00781,762933,3051734
F00782,344816,1379266
F00783,219236,876947
F00784,1316539,5266159
F00785,305381,1221524
F00786,25165,100660
F00787,1102741,4410964
F00788,690543,2762172
F00789,701909,2807636
F00790,331362,1325451
F00791,615157,2460628
F00792,24202,96810
F00793,22616,90466
F00794,11083,44335
F00795,145843,583375
F00796,8267,33068
F00797,41233,164933
F00798,653251,2613006
F00799,20135,80542
F00800,11808,47232
F00801,7100,28400
F00802,32601,130407
F00803,8195,32780
F00804,8944,35779
F00805,6388,25555
F00806,376342,1505370
F00807,31152,124610
F00808,27119,108478
F00809,210616,842467
F00810,7300,29203
F00811,4361,17446
F00812,483950,1935803
F00813,15180,60722
F00814,469247,1876988
F00815,130680,522722
F00816,10665,42660
F00817,13531,54124
F00818,296878,1187512
F00819,6540,26161
F00820,461554,1846219
F00821,811249,3244997
F00822,581531,2326124
F00823,19413,77652
F00824,7376,29504
F00825,292543,1170172
F00826,25100,100403
F00827,631183,2524733
F00828,453391,1813564
F00829,5150,20601
F00830,39550,158200
F00831,10483,41935
F00832,37839,151358
F00833,317393,1269575
F00834,808114,3232456
F00835,1241078,4964312
F00836,13672,54691
F00837,96731,386927
F00838,510133,2040533
F00839,6740,26963
F00840,6284,25139
F00841,14676,58704
F00842,21806,87226
F00843,393277,1573109
F00844,266557,1066231
F00845,16609,66438
F00846,27381,109526
F00847,9231,36926
F00848,41895,167580
F00849,221583,886332
F00850,27355,109423
F00851,20556,82225
F00852,10781,43127
F00853,8120,32480
F00854,293554,1174216
F00855,14004,56016
F00856,11172,44690
F00857,10686,42746
F00858,11409,45638
F00859,24637,98548
F00860,30862,123449
F00861,5944,23778
F00862,11058,44232
F00863,34863,139452
F00864,391933,1567732
F00865,14123,56493
F00866,784599,3138399
F00867,16804,67216
F00868,4562,18250
F00869,33126,132505
F00870,752147,3008589
F00871,512815,2051260
F00872,216625,866500
F00873,9237,36951
F00874,11409,45636
F00875,245737,982948
F00876,7139,28559
F00877,141273,565092
F00878,202075,808303
F00879,252174,1008697
F00880,198887,795548
F00881,4258,17032
F00882,425823,1703294
F00883,14061,56246
F00884,429157,1716631
F00885,934885,3739543
F00886,11600,46403
F00887,9440,37760
F00888,423772,1695088
F00889,6802,27210
F00890,13881,55524
F00891,9546,38185
F00892,397622,1590488
F00893,23677,94708
F00894,1270584,5082336
F00895,5334,21338
F00896,177694,710776
F00897,14758,59033
F00898,6380,25522
F00899,29750,119003
F00900,13389,53557
F00901,464980,1859922
F00902,22388,89552
F00903,30253,121014
F00904,132570,530281
F00905,1341699,5366796
F00906,11007,44029
F00907,29681,118726
F00908,8881,35524
F00909,682927,2731708
F00910,13975,55900
F00911,123930,495721
F00912,1299257,5197029
F00913,231998,927992
F00914,352390,1409560
F00915,4050,16200
F00916,13844,55378
F00917,16039,64156
F00918,9666,38666
F00919,24248,96992
F00920,465306,1861226
F00921,584798,2339193
F00922,9750,39002
F00923,4192,16768
F00924,13903,55612
F00925,20851,83404
F00926,11670,46681
F00927,487481,1949927
F00928,39959,159836
F00929,10518,42072
F00930,10281,41125
F00931,1268052,5072210
F00932,32205,128820
F00933,10712,42849
F00934,512663,2050654
F00935,32860,131442
F00936,13611,54445
F00937,40396,161587
F00938,23541,94167
F00939,285900,1143603
F00940,4931,19727
F00941,9903,39613
F00942,32896,131585
F00943,608227,2432909
F00944,159156,636624
F00945,11450,45803
F00946,485303,1941212
F00947,12245,48983
F00948,30423,121694
F00949,539355,2157420
F00950,5754,23016
F00951,798351,3193406
F00952,9018,36072
F00953,10872,43488
F00954,155538,622153
F00955,211810,847240
F00956,17458,69833
F00957,1291970,5167880
F00958,127930,511722
F00959,9389,37557
F00960,30837,123350
F00961,5312,21249
F00962,349474,1397897
F00963,11327,45309
F00964,758855,3035422
F00965,16701,66807
F00966,7127,28510
F00967,8201,32804
F00968,525099,2100398
F00969,474560,1898240
F00970,20284,81138
F00971,10761,43047
F00972,7567,30269
F00973,14889,59557
F00974,683563,2734254
F00975,169837,679350
F00976,582711,2330844
F00977,16679,66716
F00978,17242,68968
F00979,35955,143823
F00980,629402,2517610
F00981,99488,397952
F00982,244528,978114
F00983,774607,3098431
F00984,11545,46182
F00985,1045848,4183393
F00986,10147,40590
F00987,19694,78777
F00988,763397,3053589
F00989,147217,588868
F00990,34300,137202
F00991,269598,1078394
F00992,438156,1752625
F00993,6925,27701
F00994,1342481,5369925
F00995,18930,75720
F00996,15298,61192
F00997,6845,27382
F00998,11406,45625
F00999,3936,15745
F01000,27486,109944
F01001,5963,23852
F01002,13058,52232
F01003,302842,1211368
F01004,314146,1256587
F01005,808465,3233863
F01006,15997,63990
F01007,15516,62066
F01008,1314875,5259502
F01009,180231,720924
F01010,8490,33960
F01011,15855,63420
F01012,308865,1235461
F01013,209197,836789
F01014,628514,2514058
F01015,7576,30306
F01016,280866,1123465
F01017,16304,65217
F01018,657284,2629139
F01019,28905,115622
F01020,29379,117518
F01021,19573,78292
F01022,6023,24092
F01023,6766,27064
F01024,1037166,4148667
F01025,11205,44820
F01026,10194,40777
F01027,432783,1731135
F01028,730415,2921660
F01029,14166,56667
F01030,536613,2146452
F01031,462575,1850300
F01032,13104,52416
F01033,607749,2430997
F01034,30872,123490
F01035,12634,50536
F01036,192185,768743
F01037,169337,677348
F01038,404218,1616873
F01039,10577,42311
F01040,440466,1761864
F01041,4979,19916
F01042,14828,59312
F01043,20774,83096
F01044,9041,36167
F01045,15558,62232
F01046,10629,42516
F01047,14531,58124
F01048,189939,759759
F01049,120759,483038
F01050,6679,26716
F01051,14541,58165
F01052,523547,2094189
F01053,18431,73726
F01054,302275,1209100
F01055,22022,88088
F01056,8700,34802
F01057,714216,2856865
F01058,142140,568562
F01059,1137016,4548066
F01060,13530,54121
F01061,169959,679836
F01062,10343,41372
F01063,10068,40275
F01064,14629,58516
F01065,22025,88100
F01066,245184,980736
F01067,301129,1204516
F01068,24907,99631
F01069,4047,16190
F01070,548423,2193693
F01071,708064,2832256
F01072,5771,23084
F01073,312407,1249628
F01074,13846,55386
F01075,4719,18879
F01076,19804,79218
F01077,718597,2874389
F01078,13759,55037
F01079,322341,1289364
F01080,15580,62320
F01081,155563,622252
F01082,15494,61976
F01083,14933,59732
F01084,7346,29385
F01085,213410,853640
F01086,370108,1480435
F01087,21438,85754
F01088,9374,37496
F01089,5008,20032
F01090,4807,19228
F01091,24526,98107
F01092,309725,1238900
F01093,677680,2710722
F01094,7504,30017
F01095,1339403,5357613
F01096,23244,92979
F01097,239802,959209
F01098,11964,47857
F01099,39462,157848
F01100,5389,21557
F01101,7513,30052
F01102,31572,126289
F01103,302132,1208529
F01104,1319030,5276120
F01105,511160,2044643
F01106,20319,81277
F01107,13347,53388
F01108,506757,2027028
F01109,11065,44263
F01110,27312,109248
F01111,20623,82493
F01112,136350,545402
F01113,31158,124635
F01114,13999,55997
F01115,7105,28420
F01116,262881,1051524
F01117,5994,23977
F01118,109829,439318
F01119,13759,55036
F01120,25642,102571
F01121,30992,123971
F01122,12038,48155
F01123,258248,1032994
F01124,4338,17355
F01125,16579,66317
F01126,165730,662923
F01127,9919,39678
F01128,1314908,5259632
F01129,245705,982820
F01130,189745,758982
F01131,16071,64285
F01132,552057,2208229
F01133,17731,70927
F01134,192168,768674
F01135,12534,50137
F01136,12811,51246
F01137,19256,77025
F01138,13459,53837
F01139,10605,42420
F01140,220935,883740
F01141,16610,66443
F01142,24343,97372
F01143,179041,716167
F01144,818191,3272766
F01145,173075,692300
F01146,23566,94264
F01147,1081445,4325780
F01148,306825,1227303
F01149,388111,1552444
F01150,14586,58345
F01151,631608,2526432
F01152,212226,848904
F01153,16506,66027
F01154,6696,26785
F01155,7576,30305
F01156,9298,37192
F01157,235553,942212
F01158,33122,132488
F01159,30310,121240
F01160,9814,39256
F01161,405210,1620842
F01162,638709,2554838
F01163,18882,75529
F01164,9364,37458
F01165,30036,120144
F01166,494560,1978242
F01167,13544,54177
F01168,192272,769089
F01169,7946,31785
F01170,507319,2029276
F01171,22693,90773
F01172,442066,1768267
F01173,9820,39280
F01174,15103,60415
F01175,11175,44702
F01176,826691,3306764
F01177,38093,152374
F01178,14481,57925
F01179,539427,2157711
F01180,8802,35208
F01181,7318,29273
F01182,21749,86997
F01183,17798,71193
F01184,429756,1719027
F01185,160729,642916
F01186,7795,31181
F01187,29333,117335
F01188,301889,1207556
F01189,39666,158664
F01190,296925,1187700
F01191,482162,1928649
F01192,9155,36621
F01193,396843,1587375
F01194,603349,2413399
F01195,34090,136361
F01196,15588,62352
F01197,222871,891485
F01198,23801,95204
F01199,5126,20504
F01200,19692,78769
F01201,22986,91947
F01202,642094,2568377
F01203,8278,33114
F01204,12118,48472
F01205,189471,757884
F01206,13886,55545
F01207,1104573,4418295
F01208,9533,38135
F01209,261556,1046227
F01210,7360,29440
F01211,9229,36916
F01212,427193,1708775
F01213,27979,111918
F01214,249328,997315
F01215,11066,44264
F01216,208588,834355
F01217,31815,127260
F01218,25078,100312
F01219,4599,18399
F01220,12380,49523
F01221,5112,20448
F01222,779681,3118727
F01223,262129,1048516
F01224,10095,40383
F01225,9643,38573
F01226,156547,626189
F01227,228583,914333
F01228,341537,1366150
F01229,39887,159548
F01230,15569,62279
F01231,20793,83175
F01232,119392,477568
F01233,216508,866034
F01234,739527,2958109
F01235,234556,938226
F01236,269255,1077020
F01237,4184,16736
F01238,25691,102764
F01239,25585,102343
F01240,13218,52875
F01241,758915,3035662
F01242,9569,38279
F01243,25353,101415
F01244,18793,75175
F01245,642235,2568943
F01246,18332,73330
F01247,447801,1791204
F01248,13621,54484
F01249,198227,792911
F01250,9146,36584
F01251,322894,1291576
F01252,33541,134165
F01253,705675,2822701
F01254,24893,99572
F01255,18253,73012
F01256,26557,106230
F01257,23928,95715
F01258,101156,404627
F01259,8078,32312
F01260,1144383,4577533
F01261,18835,75340
F01262,6919,27679
F01263,1372511,5490044
F01264,219562,878250
F01265,112731,450927
F01266,454946,1819787
F01267,136098,544392
F01268,1108854,4435418
F01269,11023,44093
F01270,9009,36036
F01271,667952,2671811
F01272,14890,59563
F01273,14764,59057
F01274,317423,1269694
F01275,24417,97671
F01276,21810,87243
F01277,172165,688661
F01278,34567,138270
F01279,8136,32544
F01280,9168,36672
F01281,21295,85180
F01282,817145,3268582
F01283,207133,828535
F01284,28645,114583
F01285,274122,1096491
F01286,24055,96221
F01287,15581,62324
F01288,117613,470455
F01289,3857,15429
F01290,15523,62094
F01291,27643,110572
F01292,25494,101976
F01293,10155,40621
F01294,392704,1570816
F01295,20241,80965
F01296,113823,455293
F01297,15254,61017
F01298,5070,20280
F01299,15495,61983
F01300,157615,630463
F01301,829243,3316972
F01302,6396,25586
F01303,335131,1340524
F01304,212673,850695
F01305,9326,37305
F01306,1386191,5544766
F01307,319991,1279964
F01308,395214,1580858
F01309,180882,723530
F01310,17395,69582
F01311,11274,45097
F01312,192270,769082
F01313,242471,969887
F01314,5140,20560
F01315,25844,103376
F01316,30951,123807
F01317,12317,49271
F01318,8344,33377
F01319,242492,969968
F01320,24753,99013
F01321,263361,1053444
F01322,7171,28684
F01323,14025,56102
F01324,787599,3150397
F01325,523797,2095188
F01326,382138,1528554
F01327,6842,27371
F01328,241707,966830
F01329,15469,61879
F01330,131768,527075
F01331,22068,88272
F01332,314208,1256833
F01333,11026,44107
F01334,18064,72258
F01335,222961,891847
F01336,32666,130667
F01337,12773,51092
F01338,199406,797627
F01339,16658,66635
F01340,30888,123555
F01341,30527,122111
F01342,10457,41829
F01343,700271,2801085
F01344,20664,82658
F01345,147985,591941
F01346,14504,58017
F01347,634191,2536766
F01348,23670,94682
F01349,10777,43109
F01350,12464,49856
F01351,216394,865576
F01352,21951,87806
