cust_id,cust_name,region,segment,behavior_profile
C0057,"Washington, Ryan and Cummings",AMER,Mid-Market,shelfware
C0058,"Johnston, Sanchez and Kennedy",EMEA,Enterprise,normal
C0059,Lee-Davis,LATAM,Mid-Market,normal
C0060,Gomez-Jenkins,EMEA,Mid-Market,normal
C0061,"Brown, Valdez and Lucas",AMER,Enterprise,normal
C0062,Powell LLC,EMEA,Mid-Market,normal
C0063,Wright and Sons,APAC,Enterprise,normal
C0064,"West, Henderson and Ramirez",APAC,Mid-Market,normal
C0065,Baxter Inc,LATAM,Mid-Market,normal
C0066,Morton-Chase,EMEA,Mid-Market,normal
C0067,Williams PLC,AMER,Mid-Market,normal
C0068,Novak and Sons,LATAM,Enterprise,normal
C0069,Russell Group,AMER,Enterprise,normal
C0070,Hancock Inc,AMER,Mid-Market,normal
C0071,Gray Group,AMER,Enterprise,normal
C0072,House-Glover,EMEA,Enterprise,normal
C0073,Henderson-Bernard,AMER,Mid-Market,normal
C0074,"Stanley, Tucker and Lee",EMEA,Enterprise,normal
C0075,Novak PLC,EMEA,Enterprise,normal
C0076,"Daniels, Adkins and Brown",EMEA,Enterprise,normal
C0077,"Woods, Calhoun and Schmidt",EMEA,Mid-Market,normal
C0078,Yu Inc,EMEA,Mid-Market,normal
C0079,Jones Inc,AMER,Enterprise,normal
C0080,"Hensley, Powell and David",EMEA,Mid-Market,normal
C0081,"Sanchez, Wheeler and Harvey",APAC,Enterprise,normal
C0082,Sandoval-Cunningham,EMEA,Mid-Market,normal
C0083,Donovan-Harris,APAC,Enterprise,normal
C0084,"Edwards, Baker and Anderson",LATAM,Enterprise,spike_drop
C0085,"Evans, Stewart and Walton",AMER,Mid-Market,shelfware
C0086,Smith PLC,EMEA,Mid-Market,normal
C0087,"Ferrell, Jones and Lewis",AMER,Mid-Market,overage
C0088,Anderson-Bailey,EMEA,Mid-Market,shelfware
C0089,Suarez LLC,AMER,Enterprise,overage
C0090,Moore-Bass,AMER,Enterprise,normal
C0091,"Turner, Riggs and Roman",EMEA,Enterprise,normal
C0092,"Smith, Montoya and Evans",AMER,Mid-Market,normal
C0093,"Garcia, Humphrey and Baker",LATAM,Enterprise,normal
C0094,Newton and Sons,AMER,Mid-Market,normal
C0095,Campbell-Clark,AMER,Enterprise,overage
C0096,Harris-Walters,AMER,Enterprise,normal
C0097,Wagner-King,APAC,Enterprise,normal
C0098,Davis Group,EMEA,Mid-Market,overage
C0099,Williams-Cook,AMER,Enterprise,normal
C0100,Walsh LLC,AMER,Mid-Market,normal
