entitlement_id,product_id,cust_id,units_purchased,licensed_amount,unit_price,arr,start_date,end_date,is_expansion
E00129,P0141,C0026,3,3,52827.16,158481.48,2025-07-01,2026-07-01,False
E00130,P0051,C0027,1194,1194,32.38,38661.72,2025-08-01,2026-08-01,False
E00131,P0313,C0027,429,429,87.75,37644.75,2025-07-01,2026-07-01,False
E00132,P0033,C0027,1056,1056,34.77,36717.12,2025-07-01,2026-07-01,False
E00133,P0455,C0027,3,3,12882.89,38648.67,2025-07-01,2026-07-01,False
E00134,P0248,C0027,1314,1314,30.64,40260.96,2025-07-01,2026-07-01,False
E00135,P0073,C0027,24,24,53014.0,1272336.0,2025-07-01,2026-07-01,False
E00136,P0200,C0027,18,18,14427.49,259694.82,2025-08-01,2026-08-01,False
E00137,P0482,C0028,10932,10932,82.24,899047.68,2025-07-01,2026-07-01,False
E00138,P0476,C0028,16,16,45851.81,733628.96,2025-07-01,2026-07-01,False
E00139,P0367,C0028,6,6,42967.61,257805.66,2025-07-01,2026-07-01,False
E00140,P0444,C0028,1990,1990,29.34,58386.6,2025-10-01,2026-10-01,False
E00141,P0421,C0028,29,29,42173.36,1223027.44,2025-08-01,2026-08-01,False
E00142,P0215,C0028,312,312,94.79,29574.48,2025-07-01,2026-07-01,False
E00143,P0418,C0028,1,1,46667.66,46667.66,2025-07-01,2026-07-01,False
E00144,P0202,C0029,25,25,49391.06,1234776.5,2025-07-01,2026-07-01,False
E00145,P0403,C0029,421,421,121.04,50957.84,2025-07-01,2026-07-01,False
E00146,P0422,C0029,10,10,28483.86,284838.6,2025-07-01,2026-07-01,False
E00147,P0226,C0029,208,208,208.93,43457.44,2025-07-01,2026-07-01,False
E00148,P0211,C0029,1961,1961,32.49,63712.89,2025-07-01,2026-07-01,False
E00149,P0362,C0029,12,12,30568.15,366817.8,2025-07-01,2026-07-01,False
E00150,P0396,C0029,1652,1652,33.29,54995.08,2025-07-01,2026-07-01,False
E00151,P0474,C0030,8,8,26225.81,209806.48,2025-07-01,2026-07-01,False
E00152,P0132,C0030,1086,1086,30.72,33361.92,2025-07-01,2026-07-01,False
E00153,P0352,C0030,24,24,26227.63,629463.12,2025-10-01,2026-10-01,False
E00154,P0018,C0030,578,578,128.54,74296.12,2025-07-01,2026-07-01,False
E00155,P0068,C0030,21,21,52689.53,1106480.13,2025-07-01,2026-07-01,False
E00156,P0387,C0030,9,9,31146.12,280315.08,2025-07-01,2026-07-01,False
E00157,P0014,C0031,249,249,32.63,8124.87,2025-07-01,2026-07-01,False
E00158,P0138,C0031,9261,9261,102.45,948789.45,2025-10-01,2026-10-01,False
E00159,P0086,C0031,1215,1215,126.84,154110.6,2025-07-01,2026-07-01,False
E00160,P0409,C0032,1543,1543,29.8,45981.4,2025-10-01,2026-10-01,False
E00161,P0023,C0032,16,16,53528.88,856462.08,2025-07-01,2026-07-01,False
E00162,P0329,C0032,11991,11991,120.88,1449472.08,2025-07-01,2026-07-01,False
E00163,P0122,C0032,112,112,133.58,14960.96,2025-07-01,2026-07-01,False
E00164,P0053,C0033,4449,4449,88.9,395516.1,2025-08-01,2026-08-01,False
E00165,P0344,C0033,17,17,50456.09,857753.53,2025-07-01,2026-07-01,False
E00166,P0398,C0034,7,7,49350.37,345452.59,2025-07-01,2026-07-01,False
E00167,P0234,C0034,288,288,130.5,37584.0,2025-07-01,2026-07-01,False
E00168,P0391,C0034,19,19,43022.13,817420.47,2025-07-01,2026-07-01,False
E00169,P0409,C0034,576,576,32.31,18610.56,2025-10-01,2026-10-01,False
E00170,P0220,C0034,993,993,30.3,30087.9,2025-10-01,2026-10-01,False
E00171,P0319,C0034,1171,1171,33.07,38724.97,2025-07-01,2026-07-01,False
E00172,P0387,C0034,24,24,48505.3,1164127.2,2025-07-01,2026-07-01,False
E00173,P0441,C0035,6829,6829,75.6,516272.4,2025-07-01,2026-07-01,False
E00174,P0235,C0035,31,31,199.24,6176.44,2025-09-01,2026-09-01,False
E00175,P0299,C0035,8,8,12814.78,102518.24,2025-09-01,2026-09-01,False
E00176,P0478,C0035,19,19,12025.57,228485.83,2025-08-01,2026-08-01,False
E00177,P0456,C0035,4,4,18257.7,73030.8,2025-10-01,2026-10-01,False
E00178,P0125,C0036,289,289,197.84,57175.76,2025-07-01,2026-07-01,False
E00179,P0361,C0036,3770,3770,94.53,356378.1,2025-07-01,2026-07-01,False
E00180,P0440,C0036,585,585,30.28,17713.8,2025-07-01,2026-07-01,False
E00181,P0375,C0036,526,526,146.3,76953.8,2025-09-01,2026-09-01,False
E00182,P0121,C0036,3150,3150,115.93,365179.5,2025-07-01,2026-07-01,False
E00183,P0413,C0037,9,9,15901.02,143109.18,2025-10-01,2026-10-01,False
E00184,P0157,C0037,355,355,94.59,33579.45,2025-07-01,2026-07-01,False
E00185,P0406,C0038,5,5,11310.91,56554.55,2025-07-01,2026-07-01,False
E00186,P0493,C0038,1209,1209,30.36,36705.24,2025-07-01,2026-07-01,False
E00187,P0162,C0038,1453,1453,32.49,47207.97,2025-07-01,2026-07-01,False
E00188,P0418,C0038,2,2,41390.48,82780.96,2025-07-01,2026-07-01,False
E00189,P0402,C0039,347,347,34.21,11870.87,2025-07-01,2026-07-01,False
E00190,P0223,C0039,537,537,86.98,46708.26,2025-07-01,2026-07-01,False
E00191,P0310,C0039,586,586,31.7,18576.2,2025-09-01,2026-09-01,False
E00192,P0372,C0039,14,14,11679.97,163519.58,2025-07-01,2026-07-01,False
E00193,P0413,C0039,5,5,29756.66,148783.3,2025-07-01,2026-07-01,False
E00194,P0314,C0040,1151,1151,33.36,38397.36,2025-07-01,2026-07-01,False
E00195,P0054,C0040,1,1,53570.75,53570.75,2025-07-01,2026-07-01,False
E00196,P0116,C0040,1269,1269,33.03,41915.07,2025-07-01,2026-07-01,False
E00197,P0096,C0040,827,827,102.18,84502.86,2025-07-01,2026-07-01,False
E00198,P0330,C0040,11185,11185,66.31,741677.35,2025-07-01,2026-07-01,False
E00199,P0205,C0040,1558,1558,34.0,52972.0,2025-07-01,2026-07-01,False
E00200,P0289,C0040,1562,1562,30.04,46922.48,2025-07-01,2026-07-01,False
E00201,P0120,C0041,11,11,50185.25,552037.75,2025-07-01,2026-07-01,False
E00202,P0224,C0041,406,406,29.2,11855.2,2025-07-01,2026-07-01,False
E00203,P0118,C0041,12,12,54232.73,650792.76,2025-07-01,2026-07-01,False
E00204,P0154,C0041,115,115,208.35,23960.25,2025-07-01,2026-07-01,False
E00205,P0439,C0042,445,445,98.33,43756.85,2025-07-01,2026-07-01,False
E00206,P0081,C0042,167,167,213.63,35676.21,2025-07-01,2026-07-01,False
E00207,P0409,C0042,1800,1800,33.71,60678.0,2025-07-01,2026-07-01,False
E00208,P0423,C0043,815,815,28.22,22999.3,2025-07-01,2026-07-01,False
E00209,P0177,C0043,1301,1301,54.35,70709.35,2025-07-01,2026-07-01,False
E00210,P0041,C0043,361,361,30.07,10855.27,2025-07-01,2026-07-01,False
E00211,P0229,C0043,244,244,210.66,51401.04,2025-07-01,2026-07-01,False
E00212,P0251,C0043,1,1,34098.14,34098.14,2025-07-01,2026-07-01,False
E00213,P0287,C0044,5,5,54882.08,274410.4,2025-07-01,2026-07-01,False
E00214,P0479,C0044,26,26,22299.9,579797.4,2025-10-01,2026-10-01,False
E00215,P0007,C0045,18,18,48297.34,869352.12,2025-07-01,2026-07-01,False
E00216,P0096,C0045,7144,7144,88.39,631458.16,2025-07-01,2026-07-01,False
E00217,P0079,C0045,16,16,28016.52,448264.32,2025-07-01,2026-07-01,False
E00218,P0366,C0045,10882,10882,40.19,437347.58,2025-07-01,2026-07-01,False
E00219,P0169,C0045,1751,1751,34.42,60269.42,2025-07-01,2026-07-01,False
E00220,P0010,C0046,5552,5552,43.55,241789.6,2025-07-01,2026-07-01,False
E00221,P0378,C0046,3,3,48846.56,146539.68,2025-07-01,2026-07-01,False
E00222,P0495,C0046,5,5,24087.25,120436.25,2025-07-01,2026-07-01,False
E00223,P0479,C0046,25,25,42090.69,1052267.25,2025-07-01,2026-07-01,False
E00224,P0297,C0046,23,23,28246.92,649679.16,2025-07-01,2026-07-01,False
E00225,P0237,C0047,24,24,16219.13,389259.12,2025-10-01,2026-10-01,False
E00226,P0210,C0047,437,437,191.3,83598.1,2025-07-01,2026-07-01,False
E00227,P0431,C0047,744,744,100.23,74571.12,2025-09-01,2026-09-01,False
E00228,P0069,C0048,11279,11279,116.93,1318853.47,2025-07-01,2026-07-01,False
E00229,P0270,C0048,4767,4767,57.02,271814.34,2025-08-01,2026-08-01,False
E00230,P0047,C0049,391,391,70.44,27542.04,2025-07-01,2026-07-01,False
E00231,P0371,C0049,1700,1700,33.96,57732.0,2025-07-01,2026-07-01,False
E00232,P0465,C0049,17,17,39158.62,665696.54,2025-07-01,2026-07-01,False
E00233,P0363,C0049,17,17,46845.53,796374.01,2025-07-01,2026-07-01,False
E00234,P0141,C0050,27,27,44685.32,1206503.64,2025-07-01,2026-07-01,False
E00235,P0121,C0050,2911,2911,124.16,361429.76,2025-07-01,2026-07-01,False
E00236,P0255,C0051,878,878,31.49,27648.22,2025-07-01,2026-07-01,False
E00237,P0145,C0051,1480,1480,29.93,44296.4,2025-07-01,2026-07-01,False
E00238,P0236,C0051,19,19,54948.46,1044020.74,2025-07-01,2026-07-01,False
E00239,P0258,C0051,177,177,180.82,32005.14,2025-10-01,2026-10-01,False
E00240,P0208,C0052,392,392,189.25,74186.0,2025-09-01,2026-09-01,False
E00241,P0031,C0052,1426,1426,30.18,43036.68,2025-08-01,2026-08-01,False
E00242,P0344,C0052,15,15,10056.44,150846.6,2025-07-01,2026-07-01,False
E00243,P0028,C0052,10801,10801,125.49,1355417.49,2025-10-01,2026-10-01,False
E00244,P0338,C0052,8427,8427,125.65,1058852.55,2025-07-01,2026-07-01,False
E00245,P0434,C0052,977,977,28.39,27737.03,2025-07-01,2026-07-01,False
E00246,P0199,C0053,23,23,19807.87,455581.01,2025-07-01,2026-07-01,False
E00247,P0239,C0053,232,232,128.23,29749.36,2025-07-01,2026-07-01,False
E00248,P0434,C0053,1689,1689,34.82,58810.98,2025-07-01,2026-07-01,False
E00249,P0151,C0054,1496,1496,30.63,45822.48,2025-07-01,2026-07-01,False
E00250,P0208,C0054,309,309,101.8,31456.2,2025-07-01,2026-07-01,False
E00251,P0254,C0054,21,21,24155.85,507272.85,2025-07-01,2026-07-01,False
E00252,P0456,C0054,18,18,15724.35,283038.3,2025-07-01,2026-07-01,False
E00253,P0347,C0054,61,61,165.09,10070.49,2025-07-01,2026-07-01,False
E00254,P0076,C0054,24,24,21062.79,505506.96,2025-07-01,2026-07-01,False
E00255,P0419,C0054,20,20,15452.57,309051.4,2025-07-01,2026-07-01,False
E00256,P0160,C0055,348,348,34.57,12030.36,2025-09-01,2026-09-01,False
E00257,P0473,C0055,1,1,39461.38,39461.38,2025-10-01,2026-10-01,False
E00258,P0136,C0055,7875,7875,117.36,924210.0,2025-07-01,2026-07-01,False
E00259,P0114,C0055,1727,1727,114.78,198225.06,2025-07-01,2026-07-01,False
E00260,P0093,C0055,19,19,17101.79,324934.01,2025-07-01,2026-07-01,False
E00261,P0108,C0055,26,26,18096.89,470519.14,2025-09-01,2026-09-01,False
E00262,P0482,C0055,6577,6577,124.22,816994.94,2025-07-01,2026-07-01,False
E00263,P0419,C0056,28,28,32715.3,916028.4,2025-07-01,2026-07-01,False
E00264,P0208,C0056,400,400,79.78,31912.0,2025-07-01,2026-07-01,False
E00265,P0162,C0056,688,688,30.88,21245.44,2025-07-01,2026-07-01,False
E00266,P0051,C0056,939,939,29.28,27493.92,2025-07-01,2026-07-01,False
E00267,P0460,C0056,16,16,14688.05,235008.8,2025-10-01,2026-10-01,False
E00268,P0340,C0056,7,7,8594.87,60164.09,2025-07-01,2026-07-01,False
E00269,P0351,C0057,791,791,31.55,24956.05,2025-07-01,2026-07-01,False
E00270,P0283,C0057,29,29,50984.96,1478563.84,2025-07-01,2026-07-01,False
E00271,P0239,C0057,423,423,74.07,31331.61,2025-08-01,2026-08-01,False
E00272,P0227,C0057,6,6,15086.26,90517.56,2025-08-01,2026-08-01,False
E00273,P0453,C0057,23,23,38134.65,877096.95,2025-07-01,2026-07-01,False
E00274,P0175,C0057,1840,1840,94.53,173935.2,2025-07-01,2026-07-01,False
E00275,P0346,C0058,580,580,33.68,19534.4,2025-09-01,2026-09-01,False
E00276,P0186,C0058,437,437,114.99,50250.63,2025-07-01,2026-07-01,False
E00277,P0370,C0058,929,929,32.02,29746.58,2025-07-01,2026-07-01,False
E00278,P0364,C0058,773,773,34.62,26761.26,2025-07-01,2026-07-01,False
E00279,P0098,C0058,513,513,28.08,14405.04,2025-07-01,2026-07-01,False
E00280,P0460,C0058,21,21,46378.09,973939.89,2025-07-01,2026-07-01,False
E00281,P0346,C0059,545,545,33.05,18012.25,2025-07-01,2026-07-01,False
E00282,P0018,C0059,5671,5671,89.19,505796.49,2025-10-01,2026-10-01,False
E00283,P0187,C0059,6380,6380,77.18,492408.4,2025-07-01,2026-07-01,False
E00284,P0219,C0059,1745,1745,31.27,54566.15,2025-09-01,2026-09-01,False
E00285,P0191,C0059,26,26,22659.71,589152.46,2025-07-01,2026-07-01,False
E00286,P0173,C0059,4235,4235,112.28,475505.8,2025-07-01,2026-07-01,False
E00287,P0188,C0059,11071,11071,59.1,654296.1,2025-09-01,2026-09-01,False
E00288,P0378,C0060,1,1,46672.12,46672.12,2025-07-01,2026-07-01,False
E00289,P0160,C0060,1347,1347,33.04,44504.88,2025-07-01,2026-07-01,False
E00290,P0288,C0060,799,799,28.17,22507.83,2025-10-01,2026-10-01,False
E00291,P0470,C0060,2713,2713,103.45,280659.85,2025-07-01,2026-07-01,False
E00292,P0338,C0060,7058,7058,56.68,400047.44,2025-07-01,2026-07-01,False
E00293,P0109,C0060,3118,3118,91.44,285109.92,2025-07-01,2026-07-01,False
E00294,P0289,C0060,1246,1246,32.48,40470.08,2025-09-01,2026-09-01,False
E00295,P0225,C0061,505,505,93.45,47192.25,2025-07-01,2026-07-01,False
E00296,P0279,C0061,1089,1089,28.07,30568.23,2025-07-01,2026-07-01,False
E00297,P0296,C0062,109,109,201.39,21951.51,2025-07-01,2026-07-01,False
E00298,P0414,C0062,909,909,32.48,29524.32,2025-07-01,2026-07-01,False
E00299,P0473,C0062,12,12,14824.24,177890.88,2025-07-01,2026-07-01,False
E00300,P0101,C0063,490,490,169.64,83123.6,2025-07-01,2026-07-01,False
E00301,P0295,C0063,1764,1764,62.72,110638.08,2025-07-01,2026-07-01,False
E00302,P0231,C0063,441,441,165.82,73126.62,2025-07-01,2026-07-01,False
E00303,P0430,C0064,388,388,194.16,75334.08,2025-07-01,2026-07-01,False
E00304,P0316,C0064,810,810,33.53,27159.3,2025-07-01,2026-07-01,False
E00305,P0399,C0064,17,17,19862.99,337670.83,2025-08-01,2026-08-01,False
E00306,P0003,C0064,13,13,8420.57,109467.41,2025-07-01,2026-07-01,False
E00307,P0005,C0065,505,505,152.09,76805.45,2025-07-01,2026-07-01,False
E00308,P0045,C0065,1779,1779,32.63,58048.77,2025-07-01,2026-07-01,False
E00309,P0362,C0065,14,14,15879.02,222306.28,2025-07-01,2026-07-01,False
E00310,P0485,C0065,18,18,11708.87,210759.66,2025-09-01,2026-09-01,False
E00311,P0305,C0065,10290,10290,111.66,1148981.4,2025-07-01,2026-07-01,False
E00312,P0049,C0066,1446,1446,29.33,42411.18,2025-07-01,2026-07-01,False
E00313,P0206,C0066,5,5,45565.55,227827.75,2025-07-01,2026-07-01,False
E00314,P0217,C0066,7652,7652,122.45,936987.4,2025-07-01,2026-07-01,False
E00315,P0392,C0066,477,477,90.42,43130.34,2025-10-01,2026-10-01,False
E00316,P0330,C0067,4671,4671,84.87,396427.77,2025-07-01,2026-07-01,False
E00317,P0221,C0067,936,936,28.86,27012.96,2025-07-01,2026-07-01,False
E00318,P0278,C0067,22,22,19769.92,434938.24,2025-07-01,2026-07-01,False
E00319,P0460,C0067,24,24,22497.42,539938.08,2025-07-01,2026-07-01,False
E00320,P0074,C0068,1720,1720,32.73,56295.6,2025-07-01,2026-07-01,False
E00321,P0387,C0068,17,17,53785.28,914349.76,2025-10-01,2026-10-01,False
E00322,P0331,C0068,272,272,202.48,55074.56,2025-07-01,2026-07-01,False
E00323,P0352,C0068,2,2,16317.13,32634.26,2025-07-01,2026-07-01,False
E00324,P0204,C0069,10878,10878,82.09,892975.02,2025-07-01,2026-07-01,False
E00325,P0373,C0069,7652,7652,70.72,541149.44,2025-07-01,2026-07-01,False
E00326,P0341,C0069,297,297,32.26,9581.22,2025-07-01,2026-07-01,False
E00327,P0001,C0069,17,17,47123.78,801104.26,2025-07-01,2026-07-01,False
E00328,P0089,C0070,593,593,34.06,20197.58,2025-07-01,2026-07-01,False
E00329,P0394,C0070,187,187,29.48,5512.76,2025-07-01,2026-07-01,False
E00330,P0255,C0070,1318,1318,30.15,39737.7,2025-07-01,2026-07-01,False
