adoption_id,cust_id,entitlement_id,product_id,feature_id,month,usage_events
A0000208,C0002,E00005,P0149,F00669,2025-10-01,0
A0000209,C0002,E00005,P0149,F00669,2025-11-01,0
A0000210,C0002,E00005,P0149,F00669,2025-12-01,0
A0000211,C0002,E00005,P0149,F00669,2026-01-01,0
A0000212,C0002,E00005,P0149,F00669,2026-02-01,0
A0000213,C0002,E00005,P0149,F00669,2026-03-01,0
A0000214,C0002,E00005,P0149,F00669,2026-04-01,0
A0000215,C0002,E00005,P0149,F00669,2026-05-01,636467
A0000216,C0002,E00005,P0149,F00669,2026-06-01,1464197
A0000217,C0002,E00005,P0149,F00670,2025-07-01,0
A0000218,C0002,E00005,P0149,F00670,2025-08-01,0
A0000219,C0002,E00005,P0149,F00670,2025-09-01,0
A0000220,C0002,E00005,P0149,F00670,2025-10-01,9676
A0000221,C0002,E00005,P0149,F00670,2025-11-01,20104
A0000222,C0002,E00005,P0149,F00670,2025-12-01,20424
A0000223,C0002,E00005,P0149,F00670,2026-01-01,21595
A0000224,C0002,E00005,P0149,F00670,2026-02-01,32527
A0000225,C0002,E00005,P0149,F00670,2026-03-01,36058
A0000226,C0002,E00005,P0149,F00670,2026-04-01,27992
A0000227,C0002,E00005,P0149,F00670,2026-05-01,31463
A0000228,C0002,E00005,P0149,F00670,2026-06-01,38517
A0000229,C0002,E00005,P0149,F00671,2025-07-01,0
A0000230,C0002,E00005,P0149,F00671,2025-08-01,0
A0000231,C0002,E00005,P0149,F00671,2025-09-01,0
A0000232,C0002,E00005,P0149,F00671,2025-10-01,0
A0000233,C0002,E00005,P0149,F00671,2025-11-01,0
A0000234,C0002,E00005,P0149,F00671,2025-12-01,0
A0000235,C0002,E00005,P0149,F00671,2026-01-01,0
A0000236,C0002,E00005,P0149,F00671,2026-02-01,0
A0000237,C0002,E00005,P0149,F00671,2026-03-01,0
A0000238,C0002,E00005,P0149,F00671,2026-04-01,0
A0000239,C0002,E00005,P0149,F00671,2026-05-01,0
A0000240,C0002,E00005,P0149,F00671,2026-06-01,0
A0000241,C0002,E00005,P0149,F00672,2025-07-01,0
A0000242,C0002,E00005,P0149,F00672,2025-08-01,0
A0000243,C0002,E00005,P0149,F00672,2025-09-01,0
A0000244,C0002,E00005,P0149,F00672,2025-10-01,0
A0000245,C0002,E00005,P0149,F00672,2025-11-01,0
A0000246,C0002,E00005,P0149,F00672,2025-12-01,0
A0000247,C0002,E00005,P0149,F00672,2026-01-01,0
A0000248,C0002,E00005,P0149,F00672,2026-02-01,0
A0000249,C0002,E00005,P0149,F00672,2026-03-01,0
A0000250,C0002,E00005,P0149,F00672,2026-04-01,0
A0000251,C0002,E00005,P0149,F00672,2026-05-01,0
A0000252,C0002,E00005,P0149,F00672,2026-06-01,0
A0000253,C0002,E00005,P0149,F00673,2025-07-01,0
A0000254,C0002,E00005,P0149,F00673,2025-08-01,0
A0000255,C0002,E00005,P0149,F00673,2025-09-01,0
A0000256,C0002,E00005,P0149,F00673,2025-10-01,0
A0000257,C0002,E00005,P0149,F00673,2025-11-01,0
A0000258,C0002,E00005,P0149,F00673,2025-12-01,0
A0000259,C0002,E00005,P0149,F00673,2026-01-01,0
A0000260,C0002,E00005,P0149,F00673,2026-02-01,0
A0000261,C0002,E00005,P0149,F00673,2026-03-01,0
A0000262,C0002,E00005,P0149,F00673,2026-04-01,0
A0000263,C0002,E00005,P0149,F00673,2026-05-01,0
A0000264,C0002,E00005,P0149,F00673,2026-06-01,0
A0000265,C0002,E00006,P0426,F01929,2025-07-01,0
A0000266,C0002,E00006,P0426,F01929,2025-08-01,0
A0000267,C0002,E00006,P0426,F01929,2025-09-01,0
A0000268,C0002,E00006,P0426,F01929,2025-10-01,0
A0000269,C0002,E00006,P0426,F01929,2025-11-01,0
A0000270,C0002,E00006,P0426,F01929,2025-12-01,0
A0000271,C0002,E00006,P0426,F01929,2026-01-01,0
A0000272,C0002,E00006,P0426,F01929,2026-02-01,0
A0000273,C0002,E00006,P0426,F01929,2026-03-01,0
A0000274,C0002,E00006,P0426,F01929,2026-04-01,0
A0000275,C0002,E00006,P0426,F01929,2026-05-01,0
A0000276,C0002,E00006,P0426,F01929,2026-06-01,0
A0000277,C0002,E00006,P0426,F01930,2025-07-01,0
A0000278,C0002,E00006,P0426,F01930,2025-08-01,0
A0000279,C0002,E00006,P0426,F01930,2025-09-01,0
A0000280,C0002,E00006,P0426,F01930,2025-10-01,0
A0000281,C0002,E00006,P0426,F01930,2025-11-01,0
A0000282,C0002,E00006,P0426,F01930,2025-12-01,0
A0000283,C0002,E00006,P0426,F01930,2026-01-01,0
A0000284,C0002,E00006,P0426,F01930,2026-02-01,49897
A0000285,C0002,E00006,P0426,F01930,2026-03-01,75534
A0000286,C0002,E00006,P0426,F01930,2026-04-01,84546
A0000287,C0002,E00006,P0426,F01930,2026-05-01,35264
A0000288,C0002,E00006,P0426,F01930,2026-06-01,50423
A0000289,C0002,E00006,P0426,F01931,2025-07-01,0
A0000290,C0002,E00006,P0426,F01931,2025-08-01,0
A0000291,C0002,E00006,P0426,F01931,2025-09-01,0
A0000292,C0002,E00006,P0426,F01931,2025-10-01,0
A0000293,C0002,E00006,P0426,F01931,2025-11-01,97865
A0000294,C0002,E00006,P0426,F01931,2025-12-01,67021
A0000295,C0002,E00006,P0426,F01931,2026-01-01,55141
A0000296,C0002,E00006,P0426,F01931,2026-02-01,77251
A0000297,C0002,E00006,P0426,F01931,2026-03-01,68345
A0000298,C0002,E00006,P0426,F01931,2026-04-01,46628
A0000299,C0002,E00006,P0426,F01931,2026-05-01,41660
A0000300,C0002,E00006,P0426,F01931,2026-06-01,70751
A0000301,C0002,E00007,P0148,F00666,2025-07-01,0
A0000302,C0002,E00007,P0148,F00666,2025-08-01,0
A0000303,C0002,E00007,P0148,F00666,2025-09-01,0
A0000304,C0002,E00007,P0148,F00666,2025-10-01,0
A0000305,C0002,E00007,P0148,F00666,2025-11-01,0
A0000306,C0002,E00007,P0148,F00666,2025-12-01,0
A0000307,C0002,E00007,P0148,F00666,2026-01-01,0
A0000308,C0002,E00007,P0148,F00666,2026-02-01,0
A0000309,C0002,E00007,P0148,F00666,2026-03-01,519124
A0000310,C0002,E00007,P0148,F00666,2026-04-01,621830
A0000311,C0002,E00007,P0148,F00666,2026-05-01,926528
A0000312,C0002,E00007,P0148,F00666,2026-06-01,1127837
A0000313,C0002,E00007,P0148,F00667,2025-07-01,0
A0000314,C0002,E00007,P0148,F00667,2025-08-01,0
A0000315,C0002,E00007,P0148,F00667,2025-09-01,0
A0000316,C0002,E00007,P0148,F00667,2025-10-01,56796
A0000317,C0002,E00007,P0148,F00667,2025-11-01,76068
A0000318,C0002,E00007,P0148,F00667,2025-12-01,119916
A0000319,C0002,E00007,P0148,F00667,2026-01-01,126895
A0000320,C0002,E00007,P0148,F00667,2026-02-01,61330
A0000321,C0002,E00007,P0148,F00667,2026-03-01,113899
A0000322,C0002,E00007,P0148,F00667,2026-04-01,63792
A0000323,C0002,E00007,P0148,F00667,2026-05-01,62295
A0000324,C0002,E00007,P0148,F00667,2026-06-01,51416
A0000325,C0002,E00007,P0148,F00668,2025-07-01,0
A0000326,C0002,E00007,P0148,F00668,2025-08-01,0
A0000327,C0002,E00007,P0148,F00668,2025-09-01,0
A0000328,C0002,E00007,P0148,F00668,2025-10-01,0
A0000329,C0002,E00007,P0148,F00668,2025-11-01,0
A0000330,C0002,E00007,P0148,F00668,2025-12-01,0
A0000331,C0002,E00007,P0148,F00668,2026-01-01,0
A0000332,C0002,E00007,P0148,F00668,2026-02-01,0
A0000333,C0002,E00007,P0148,F00668,2026-03-01,0
A0000334,C0002,E00007,P0148,F00668,2026-04-01,0
A0000335,C0002,E00007,P0148,F00668,2026-05-01,0
A0000336,C0002,E00007,P0148,F00668,2026-06-01,0
A0000337,C0003,E00008,P0296,F01338,2025-09-01,0
A0000338,C0003,E00008,P0296,F01338,2025-10-01,0
A0000339,C0003,E00008,P0296,F01338,2025-11-01,937519
A0000340,C0003,E00008,P0296,F01338,2025-12-01,920387
A0000341,C0003,E00008,P0296,F01338,2026-01-01,974228
A0000342,C0003,E00008,P0296,F01338,2026-02-01,385757
A0000343,C0003,E00008,P0296,F01338,2026-03-01,746637
A0000344,C0003,E00008,P0296,F01338,2026-04-01,1024565
A0000345,C0003,E00008,P0296,F01338,2026-05-01,284895
A0000346,C0003,E00008,P0296,F01338,2026-06-01,922603
A0000347,C0003,E00008,P0296,F01339,2025-09-01,0
A0000348,C0003,E00008,P0296,F01339,2025-10-01,0
A0000349,C0003,E00008,P0296,F01339,2025-11-01,28017
A0000350,C0003,E00008,P0296,F01339,2025-12-01,25448
A0000351,C0003,E00008,P0296,F01339,2026-01-01,21976
A0000352,C0003,E00008,P0296,F01339,2026-02-01,55184
A0000353,C0003,E00008,P0296,F01339,2026-03-01,31219
A0000354,C0003,E00008,P0296,F01339,2026-04-01,69576
A0000355,C0003,E00008,P0296,F01339,2026-05-01,55723
A0000356,C0003,E00008,P0296,F01339,2026-06-01,22164
A0000357,C0003,E00008,P0296,F01340,2025-09-01,0
A0000358,C0003,E00008,P0296,F01340,2025-10-01,0
A0000359,C0003,E00008,P0296,F01340,2025-11-01,0
A0000360,C0003,E00008,P0296,F01340,2025-12-01,0
A0000361,C0003,E00008,P0296,F01340,2026-01-01,0
A0000362,C0003,E00008,P0296,F01340,2026-02-01,0
A0000363,C0003,E00008,P0296,F01340,2026-03-01,0
A0000364,C0003,E00008,P0296,F01340,2026-04-01,165682
A0000365,C0003,E00008,P0296,F01340,2026-05-01,48921
A0000366,C0003,E00008,P0296,F01340,2026-06-01,73401
A0000367,C0003,E00008,P0296,F01341,2025-09-01,0
A0000368,C0003,E00008,P0296,F01341,2025-10-01,0
A0000369,C0003,E00008,P0296,F01341,2025-11-01,0
A0000370,C0003,E00008,P0296,F01341,2025-12-01,0
A0000371,C0003,E00008,P0296,F01341,2026-01-01,0
A0000372,C0003,E00008,P0296,F01341,2026-02-01,0
A0000373,C0003,E00008,P0296,F01341,2026-03-01,0
A0000374,C0003,E00008,P0296,F01341,2026-04-01,0
A0000375,C0003,E00008,P0296,F01341,2026-05-01,0
A0000376,C0003,E00008,P0296,F01341,2026-06-01,0
A0000377,C0003,E00008,P0296,F01342,2025-09-01,0
A0000378,C0003,E00008,P0296,F01342,2025-10-01,0
A0000379,C0003,E00008,P0296,F01342,2025-11-01,0
A0000380,C0003,E00008,P0296,F01342,2025-12-01,0
A0000381,C0003,E00008,P0296,F01342,2026-01-01,0
A0000382,C0003,E00008,P0296,F01342,2026-02-01,0
A0000383,C0003,E00008,P0296,F01342,2026-03-01,16672
A0000384,C0003,E00008,P0296,F01342,2026-04-01,25696
A0000385,C0003,E00008,P0296,F01342,2026-05-01,14834
A0000386,C0003,E00008,P0296,F01342,2026-06-01,19183
A0000387,C0003,E00008,P0296,F01343,2025-09-01,0
A0000388,C0003,E00008,P0296,F01343,2025-10-01,0
A0000389,C0003,E00008,P0296,F01343,2025-11-01,0
A0000390,C0003,E00008,P0296,F01343,2025-12-01,0
A0000391,C0003,E00008,P0296,F01343,2026-01-01,0
A0000392,C0003,E00008,P0296,F01343,2026-02-01,0
A0000393,C0003,E00008,P0296,F01343,2026-03-01,0
A0000394,C0003,E00008,P0296,F01343,2026-04-01,0
A0000395,C0003,E00008,P0296,F01343,2026-05-01,0
A0000396,C0003,E00008,P0296,F01343,2026-06-01,0
A0000397,C0003,E00009,P0137,F00615,2025-07-01,0
A0000398,C0003,E00009,P0137,F00615,2025-08-01,741923
A0000399,C0003,E00009,P0137,F00615,2025-09-01,324604
A0000400,C0003,E00009,P0137,F00615,2025-10-01,945825
A0000401,C0003,E00009,P0137,F00615,2025-11-01,667941
A0000402,C0003,E00009,P0137,F00615,2025-12-01,1082255
A0000403,C0003,E00009,P0137,F00615,2026-01-01,353499
A0000404,C0003,E00009,P0137,F00615,2026-02-01,367224
A0000405,C0003,E00009,P0137,F00615,2026-03-01,552196
A0000406,C0003,E00009,P0137,F00615,2026-04-01,430350
A0000407,C0003,E00009,P0137,F00615,2026-05-01,851204
A0000408,C0003,E00009,P0137,F00615,2026-06-01,1066191
A0000409,C0003,E00009,P0137,F00616,2025-07-01,0
A0000410,C0003,E00009,P0137,F00616,2025-08-01,0
A0000411,C0003,E00009,P0137,F00616,2025-09-01,39755
A0000412,C0003,E00009,P0137,F00616,2025-10-01,85960
A0000413,C0003,E00009,P0137,F00616,2025-11-01,22936
A0000414,C0003,E00009,P0137,F00616,2025-12-01,82617
A0000415,C0003,E00009,P0137,F00616,2026-01-01,74338
A0000416,C0003,E00009,P0137,F00616,2026-02-01,85718
A0000417,C0003,E00009,P0137,F00616,2026-03-01,76261
A0000418,C0003,E00009,P0137,F00616,2026-04-01,79035
A0000419,C0003,E00009,P0137,F00616,2026-05-01,28349
A0000420,C0003,E00009,P0137,F00616,2026-06-01,79695
A0000421,C0003,E00009,P0137,F00617,2025-07-01,0
A0000422,C0003,E00009,P0137,F00617,2025-08-01,0
A0000423,C0003,E00009,P0137,F00617,2025-09-01,0
A0000424,C0003,E00009,P0137,F00617,2025-10-01,1237901
A0000425,C0003,E00009,P0137,F00617,2025-11-01,2583461
A0000426,C0003,E00009,P0137,F00617,2025-12-01,2449479
A0000427,C0003,E00009,P0137,F00617,2026-01-01,1475607
A0000428,C0003,E00009,P0137,F00617,2026-02-01,3941777
A0000429,C0003,E00009,P0137,F00617,2026-03-01,3182967
A0000430,C0003,E00009,P0137,F00617,2026-04-01,1953033
A0000431,C0003,E00009,P0137,F00617,2026-05-01,3957183
A0000432,C0003,E00009,P0137,F00617,2026-06-01,3614551
A0000433,C0003,E00009,P0137,F00618,2025-07-01,0
A0000434,C0003,E00009,P0137,F00618,2025-08-01,0
A0000435,C0003,E00009,P0137,F00618,2025-09-01,0
A0000436,C0003,E00009,P0137,F00618,2025-10-01,0
A0000437,C0003,E00009,P0137,F00618,2025-11-01,0
A0000438,C0003,E00009,P0137,F00618,2025-12-01,0
A0000439,C0003,E00009,P0137,F00618,2026-01-01,0
A0000440,C0003,E00009,P0137,F00618,2026-02-01,1075787
A0000441,C0003,E00009,P0137,F00618,2026-03-01,875995
A0000442,C0003,E00009,P0137,F00618,2026-04-01,495890
A0000443,C0003,E00009,P0137,F00618,2026-05-01,1312137
A0000444,C0003,E00009,P0137,F00618,2026-06-01,686843
A0000445,C0003,E00009,P0137,F00619,2025-07-01,0
A0000446,C0003,E00009,P0137,F00619,2025-08-01,0
A0000447,C0003,E00009,P0137,F00619,2025-09-01,0
A0000448,C0003,E00009,P0137,F00619,2025-10-01,0
A0000449,C0003,E00009,P0137,F00619,2025-11-01,0
A0000450,C0003,E00009,P0137,F00619,2025-12-01,0
A0000451,C0003,E00009,P0137,F00619,2026-01-01,0
A0000452,C0003,E00009,P0137,F00619,2026-02-01,0
A0000453,C0003,E00009,P0137,F00619,2026-03-01,0
A0000454,C0003,E00009,P0137,F00619,2026-04-01,0
A0000455,C0003,E00009,P0137,F00619,2026-05-01,0
A0000456,C0003,E00009,P0137,F00619,2026-06-01,0
A0000457,C0003,E00009,P0137,F00620,2025-07-01,0
A0000458,C0003,E00009,P0137,F00620,2025-08-01,0
